# data_column_name,cf_standard_name,imos_vocabulary_name,unit_name,unit_short_name,uv.definition
# BOT_DEPTH,sea_floor_depth_below_sea_surface,Sea-floor depth below surface of the water body,Metres,m                                                                                                             ,
# CHLF,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,
# CHLU,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,
# CNDC,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,
# CPHL,,Concentration of inferred chlorophyll from relative fluorescence per unit volume of the water body,Milligrams per cubic metre,mg m-3                                                                                                        ,
# DENS,sea_water_density,Density of the water body,Kilograms per cubic metre,kg m-3                                                                                                        ,
# DEPTH,depth,Depth below surface of the water body,Metres,m                                                                                                             ,
# DESC,,Profiling descent speed of the instrument in the water body,Metres per second,m s-1                                                                                                         ,
# DOX2,moles_of_oxygen_per_unit_mass_in_sea_water,Concentration of oxygen {O2} per unit mass of the water body,Micromoles per kilogram,umol kg-1                                                                                                     ,
# LATITUDE,latitude,Latitude north,Degrees,deg                                                                                                           ,
# LONGITUDE,longitude,Longitude east,Degrees,deg                                                                                                           ,
# PRES_REL,sea_water_pressure_due_to_seawater,Pressure (measured variable) in the water body exerted by overlying sea water only,Decibars,dbar                                                                                                          ,
# PSAL,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,
# TEMP,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,
# TURB,,Turbidity of the water body,Nephelometric Turbidity Units,NTU                                                                                                           ,
#
# qc_scheme_short_name,flag_value,flag_meaning,flag_description
# IMOS IODE,0,No QC performed,The level at which all data enter the working archive. They have not yet been quality controlled
# IMOS IODE,1,Good data,Top quality data in which no malfunctions have been identified and all real features have been verified during the quality control process
# IMOS IODE,2,Probably good data,Good data in which some features (probably real) are present but these are unconfirmed. Code 2 data are also data in which minor malfunctions may be present but these errors are small and/or can be successfully corrected without seriously affecting the overall quality of the data. 
# IMOS IODE,3,Bad data that are potentially correctable,Suspect data in which unusual,, and probably erroneous features are observed 
# IMOS IODE,4,Bad data,Obviously erroneous values are observed 
# IMOS IODE,5,Value changed,Altered by a QC Centre,, with original values (before the change) preserved in the history record of the profile. eMII discourage the use of this flag. Where data values must be changed (e.g. smoothing of data sets) we strongly prefer that the original data be retained and an additional variable be added to accommodate the interpolated/corrected data values.
# IMOS IODE,6,Not used,Flag 6 is reserved for future use 
# IMOS IODE,7,Not used,Flag 7 is reserved for future use 
# IMOS IODE,8,Interpolated value,Indicates that data values are interpolated 
# IMOS IODE,9,Missing value,Indicates that the element is missing 

FID,file_id,site_code,cruise_id,time_coverage_start,time_coverage_end,TIME,INSTANCE,DIRECTION,TIME_quality_control,LATITUDE,LATITUDE_quality_control,LONGITUDE,LONGITUDE_quality_control,DEPTH,DEPTH_quality_control,BOT_DEPTH,BOT_DEPTH_quality_control,PRES_REL,PRES_REL_quality_control,TEMP,TEMP_quality_control,PSAL,PSAL_quality_control,DOX2,DOX2_quality_control,TURB,TURB_quality_control,CHLF,CHLF_quality_control,CHLU,CHLU_quality_control,CPHL,CPHL_quality_control,CNDC,CNDC_quality_control,DESC,DESC_quality_control,DENS,DENS_quality_control,geom
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e3,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,2,,,,2.016,1,25.8678,1,35.1452,1,,,0.0761,0,0.2503,1,,,,,5.4179,0,0.53,0,1023.1934,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e4,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,3,,,,3.024,1,25.8608,1,35.1442,1,,,0.0766,0,0.2379,1,,,,,5.4171,0,0.562,0,1023.1962,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e5,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,4,,,,4.032,1,25.8573,1,35.1443,1,,,0.084,0,0.247,1,,,,,5.4168,0,0.481,0,1023.2043,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e6,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,5,,,,5.04,1,25.8561,1,35.1442,1,,,0.091,0,0.2465,1,,,,,5.4167,0,0.356,0,1023.2073,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e7,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,6,,,,6.048,1,25.8419,1,35.1428,1,,,0.0867,0,0.263,1,,,,,5.415,0,0.456,0,1023.2134,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e8,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,7,,,,7.056,1,25.8403,1,35.1434,1,,,0.0842,0,0.264,1,,,,,5.415,0,0.71,0,1023.2217,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24e9,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,8,,,,8.064,1,25.8401,1,35.1437,1,,,0.1003,0,0.2971,1,,,,,5.4151,0,0.393,0,1023.2262,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24ea,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,9,,,,9.072,1,25.8379,1,35.1432,1,,,0.0942,0,0.2459,1,,,,,5.4148,0,0.283,0,1023.2314,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24eb,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,10,,,,10.08,1,25.8342,1,35.1422,1,,,0.0809,0,0.4082,1,,,,,5.4143,0,0.484,0,1023.2358,0,POINT (153.5622 -27.3416)
anmn_ctd_profiles_data.fid--f7c8393_169744f1b8f_24ec,1009,NRSNSI,NRSNSI-CTD-0013,2010-03-23T00:18:59Z,2010-03-23T00:18:59Z,2010-03-23T00:19:00Z,,D,,-27.3416,,153.5622,,11,,,,11.088,1,25.8341,1,35.1424,1,,,0.0842,0,0.3807,1,,,,,5.4144,0,0.424,0,1023.2398,0,POINT (153.5622 -27.3416)
